time,0_y,13_y,14_y,17_y,37_y
22.0,324,333,334,346,323
22.04,324,332,333,346,322
22.08,323,332,333,346,322
22.12,323,332,332,345,322
22.16,323,332,332,345,321
22.2,322,331,332,345,321
22.24,321,330,331,344,320
22.28,321,330,330,343,319
22.32,320,330,330,344,319
22.36,318,328,329,342,317
22.4,317,326,327,340,316
22.44,315,324,325,339,314
22.48,313,322,323,337,312
22.52,312,321,323,336,311
22.56,311,321,322,336,310
22.6,311,321,323,337,310
22.64,312,322,323,337,311
22.68,313,323,325,339,312
22.72,313,324,328,343,313
22.76,314,325,330,346,314
22.8,314,325,331,346,314
22.84,315,326,331,347,314
22.88,316,326,332,347,315
22.92,316,326,332,347,315
22.96,317,327,332,347,316
23.0,317,327,330,345,317
23.04,318,328,331,345,317
23.08,318,329,332,347,317
23.12,318,329,334,350,317
23.16,318,328,335,351,317
23.2,316,327,336,352,315
23.24,315,326,338,354,314
23.28,314,325,339,356,313
23.32,315,325,349,366,314
23.36,314,325,347,364,313
23.4,315,326,342,359,314
23.44,315,326,340,356,314
23.48,318,328,338,354,317
23.52,318,329,340,356,317
23.56,319,330,343,359,318
23.6,321,331,344,360,320
23.64,323,334,343,359,322
23.68,325,335,343,359,324
23.72,326,336,345,360,325
23.76,328,338,344,360,326
23.8,330,340,343,358,329
23.84,332,341,343,356,331
23.88,333,342,343,357,332
23.92,333,342,344,358,332
23.96,332,342,345,359,331
24.0,331,341,346,361,329
24.04,330,339,342,357,328
24.08,329,338,341,355,327
24.12,328,338,341,356,326
24.16,328,337,343,359,326
24.2,325,335,342,358,323
24.24,324,334,338,354,322
24.28,322,332,335,350,320
24.32,318,328,334,349,316
24.36,316,326,331,346,314
24.4,314,324,328,343,313
24.44,313,323,327,341,311
24.48,312,322,327,341,310
24.52,311,322,327,342,310
24.56,312,323,329,344,311
24.6,311,322,330,345,310
24.64,312,323,331,347,311
24.68,313,324,334,350,311
24.72,313,324,340,357,312
24.76,319,329,333,349,317
24.8,321,330,331,345,319
24.84,321,331,333,347,320
24.88,324,334,336,350,322
24.92,325,336,340,356,324
24.96,327,338,344,360,326
25.0,331,341,344,359,330
25.04,335,345,347,361,334
25.08,337,347,349,363,336
25.12,338,348,350,364,337
25.16,336,346,350,365,335
25.2,336,346,350,365,335
25.24,336,346,347,362,335
25.28,336,344,346,359,334
25.32,334,344,346,360,333
25.36,335,344,347,361,333
25.4,334,343,346,360,332
25.44,333,342,346,361,331
25.48,331,341,350,365,330
25.52,333,343,348,364,331
25.56,333,342,344,358,331
25.6,330,340,341,356,329
25.64,329,340,342,357,328
25.68,325,337,345,362,324
25.72,323,334,346,363,322
25.76,323,333,346,362,321
25.8,324,334,345,361,322
25.84,324,334,345,362,323
25.88,325,335,349,366,323
25.92,327,338,351,367,326
25.96,331,341,353,369,329
26.0,334,345,353,369,333
26.04,337,347,353,369,336
26.08,339,348,354,369,337
26.12,338,348,354,369,336
26.16,336,346,351,367,334
26.2,335,345,350,366,333
26.24,334,344,352,368,332
26.28,334,344,354,370,333
26.32,334,344,354,370,333
26.36,332,342,354,370,331
26.4,331,341,353,369,330
26.44,331,342,352,368,330
26.48,330,340,350,366,329
26.52,328,338,349,366,326
26.56,326,336,349,365,324
26.6,323,334,347,363,322
26.64,321,332,341,357,320
26.68,320,330,335,351,318
26.72,318,329,334,349,317
26.76,319,330,335,351,318
26.8,321,332,337,353,319
26.84,323,334,335,350,321
26.88,325,335,336,351,323
26.92,326,336,337,351,324
26.96,325,335,336,351,324
27.0,323,334,338,354,321
27.04,322,333,340,356,321
27.08,323,334,339,355,321
27.12,325,335,341,357,323
27.16,329,340,346,362,328
27.2,335,345,352,368,333
27.24,337,347,355,371,335
27.28,336,347,356,373,335
27.32,335,345,355,372,333
27.36,332,342,353,370,330
27.4,332,342,356,373,331
27.44,333,344,359,376,332
27.48,335,345,359,376,334
27.52,336,346,355,372,334
27.56,337,346,351,367,335
27.6,336,345,348,363,334
27.64,336,345,348,362,334
27.68,335,345,347,362,334
27.72,336,345,347,361,334
27.76,336,345,346,359,334
27.8,336,345,346,359,334
27.84,335,344,345,359,334
27.88,335,344,344,357,333
27.92,334,343,343,357,332
27.96,334,342,343,356,332
28.0,333,342,342,355,331
28.04,332,341,342,355,331
28.08,332,340,341,354,330
28.12,331,340,340,353,329
28.16,330,339,339,352,329
28.2,330,338,339,352,328
28.24,329,338,338,351,328
28.28,328,337,337,350,327
28.32,327,336,336,350,326
28.36,326,335,336,349,325
28.4,325,334,335,348,324
28.44,324,333,334,348,323
28.48,323,333,334,348,322
28.52,323,333,335,349,322
28.56,323,334,336,351,322
28.6,323,333,335,351,322
28.64,323,333,335,350,321
28.68,322,332,334,349,320
28.72,321,331,333,349,320
28.76,321,331,333,348,319
28.8,321,331,333,348,319
28.84,320,331,334,350,319
28.88,320,331,334,349,319
28.92,319,330,333,348,318
28.96,317,328,331,346,316
29.0,316,326,329,344,315
29.04,315,325,327,342,314
29.08,313,323,325,339,312
29.12,312,322,324,337,311
29.16,312,322,323,336,311
29.2,311,321,322,335,310
29.24,310,320,321,335,309
29.28,310,319,320,333,308
29.32,309,318,319,332,308
29.36,308,317,318,332,307
29.4,306,316,317,331,305
29.44,304,314,315,329,303
29.48,303,313,314,327,301
29.52,301,312,313,327,300
29.56,301,311,313,326,300
29.6,302,312,314,328,301
29.64,301,312,313,327,300
29.68,302,312,314,328,301
29.72,302,313,314,328,301
29.76,303,314,315,329,302
29.8,303,313,315,329,302
29.84,303,314,315,329,302
29.88,303,314,315,329,302
29.92,303,314,315,329,302
29.96,304,314,315,329,302
30.0,305,315,316,330,303
30.04,306,316,317,331,304
30.08,307,318,319,333,306
30.12,310,322,324,340,309
30.16,313,325,340,357,312
30.2,314,325,345,362,312
30.24,316,327,342,359,314
30.28,316,326,335,351,314
30.32,316,326,334,349,314
30.36,316,327,335,351,314
30.4,318,328,343,359,316
30.44,320,330,344,360,318
30.48,321,330,341,357,319
30.52,324,333,342,357,322
30.56,326,336,345,361,325
30.6,328,338,350,367,326
30.64,327,338,348,364,326
30.68,326,337,342,359,324
30.72,326,336,338,353,324
30.76,324,334,336,350,323
