time,14_x,14_y
24.72,636,340
24.76,633,333
24.8,633,331
24.84,633,333
24.88,631,336
24.92,633,340
24.96,633,344
25.0,634,344
25.04,634,347
25.08,633,349
25.12,631,350
25.16,632,350
25.2,631,350
25.24,631,347
25.28,631,346
25.32,631,346
25.36,630,347
25.4,631,346
25.44,631,346
25.48,631,350
25.52,630,348
25.56,630,344
25.6,629,341
25.64,628,342
25.68,628,345
25.72,628,346
25.76,628,346
25.8,628,345
25.84,628,345
25.88,629,349
25.92,629,351
25.96,630,353
26.0,631,353
26.04,631,353
26.08,631,354
26.12,629,354
26.16,630,351
26.2,630,350
26.24,630,352
26.28,631,354
26.32,630,354
26.36,630,354
26.4,631,353
26.44,631,352
26.48,631,350
26.52,630,349
26.56,628,349
26.6,628,347
26.64,627,341
26.68,626,335
26.72,623,334
26.76,621,335
26.8,620,337
26.84,619,335
26.88,621,336
26.92,622,337
26.96,623,336
27.0,624,338
27.04,625,340
27.08,626,339
27.12,626,341
27.16,629,346
27.2,629,352
27.24,629,355
27.28,628,356
27.32,628,355
27.36,629,353
27.4,629,356
27.44,629,359
27.48,629,359
27.52,628,355
27.56,628,351
27.6,627,348
27.64,626,348
27.68,626,347
27.72,626,347
27.76,625,346
27.8,624,346
27.84,624,345
27.88,625,344
27.92,624,343
27.96,624,343
28.0,625,342
28.04,625,342
28.08,625,341
28.12,625,340
28.16,625,339
28.2,625,339
28.24,625,338
28.28,626,337
28.32,626,336
28.36,626,336
28.4,627,335
28.44,627,334
28.48,628,334
28.52,629,335
28.56,628,336
28.6,630,335
28.64,630,335
28.68,630,334
28.72,630,333
28.76,630,333
28.8,630,333
28.84,631,334
28.88,631,334
28.92,631,333
28.96,632,331
29.0,632,329
29.04,632,327
29.08,632,325
29.12,632,324
29.16,633,323
29.2,633,322
29.24,633,321
29.28,632,320
29.32,632,319
29.36,632,318
29.4,630,317
29.44,629,315
29.48,628,314
29.52,628,313
29.56,629,313
29.6,629,314
29.64,629,313
29.68,629,314
29.72,629,314
29.76,628,315
29.8,628,315
29.84,627,315
29.88,626,315
29.92,625,315
29.96,624,315
30.0,624,316
30.04,623,317
30.08,623,319
30.12,622,324
30.16,622,340
30.2,620,345
30.24,617,342
30.28,613,335
30.32,612,334
30.36,612,335
30.4,615,343
30.44,620,344
30.48,623,341
30.52,625,342
30.56,627,345
30.6,629,350
30.64,630,348
30.68,634,342
30.72,635,338
30.76,636,336
30.8,633,337
30.84,630,338
30.88,627,340
30.92,625,344
30.96,623,343
31.0,622,343
31.04,621,345
31.08,621,344
31.12,621,343
31.16,621,342
31.2,621,344
