time,0_x,13_x,14_x,17_x,37_x
32.16,623,624,624,625,614
32.2,621,622,622,622,612
32.24,619,619,620,620,610
32.28,617,618,619,619,608
32.32,616,617,618,618,607
32.36,616,617,618,618,607
32.4,617,618,618,618,608
32.44,617,618,619,619,608
32.48,618,619,619,620,609
32.52,617,618,618,619,608
32.56,617,618,619,619,608
32.6,618,619,620,620,609
32.64,618,619,620,620,608
32.68,619,620,620,621,609
32.72,619,620,620,621,609
32.76,619,620,620,621,609
32.8,620,621,621,621,610
32.84,620,621,621,622,610
32.88,620,621,622,622,610
32.92,620,621,622,622,610
32.96,620,621,622,622,610
33.0,620,621,622,622,610
33.04,620,621,621,621,610
33.08,620,621,621,621,610
33.12,619,620,621,621,609
33.16,619,620,621,621,609
33.2,619,620,621,621,609
33.24,619,620,621,621,609
33.28,619,620,620,621,609
33.32,619,620,620,621,609
33.36,619,620,621,621,610
33.4,620,621,621,621,610
33.44,620,621,621,622,610
33.48,620,621,621,622,610
33.52,620,621,622,622,611
33.56,620,621,622,622,611
33.6,620,621,622,622,611
33.64,621,622,622,622,611
33.68,621,622,622,623,611
33.72,621,621,622,622,611
33.76,621,622,622,622,611
33.8,621,622,622,623,611
33.84,621,622,622,623,611
33.88,621,622,622,623,611
33.92,621,622,622,623,611
33.96,621,622,623,623,612
34.0,621,622,623,623,612
34.04,621,622,623,623,612
34.08,622,622,623,623,612
34.12,622,623,623,624,612
34.16,622,623,623,624,612
34.2,622,623,623,624,612
34.24,622,623,623,624,612
34.28,622,623,623,624,612
34.32,622,623,623,624,612
34.36,622,623,623,624,612
34.4,622,623,623,624,612
34.44,622,623,624,624,613
34.48,622,623,623,624,612
34.52,623,624,625,625,614
34.56,625,625,626,626,615
34.6,625,626,626,627,615
34.64,625,626,626,627,615
34.68,625,626,626,627,615
34.72,624,625,626,626,614
34.76,625,626,627,627,615
34.8,626,627,627,628,616
34.84,628,628,629,630,618
34.88,629,630,631,632,619
34.92,630,631,632,633,620
34.96,632,633,633,634,622
35.0,632,633,633,634,622
35.04,632,633,634,634,622
35.08,633,633,634,635,623
35.12,632,632,633,634,622
35.16,631,632,632,633,621
35.2,630,630,631,632,620
35.24,628,629,629,630,618
35.28,627,628,628,629,618
35.32,627,628,629,630,618
35.36,627,627,628,629,617
35.4,627,627,628,629,616
35.44,626,627,628,629,616
35.48,626,627,628,629,616
35.52,625,626,627,628,615
35.56,624,625,626,627,614
